打打打打打打打打打打	2	5	11	13	16	5	11	13	16
男々道	3	4	7	12	-	4	8	10	-
チカラ	4	5	8	10	-	4	9	13	-
ちくわパフェだよ☆CKP	4	7	9	12	14	7	9	12	14
地方創生☆チクワクティクス	2	6	10	13	-	7	10	13	-
ちゅ～いん☆バニー	3	6	8	10	13	5	8	11	13
チョコレートスマイル	3	6	9	12	-	6	9	12	-
チルノのパーフェクトさんすう教室	3	6	10	13	15	6	10	13	15
チルノのパーフェクトさんすう教室 (EDM REMIX)	1	4	10	13	-	5	11	13	-
追憶のアリア	2	4	7	11	-	4	7	11	-
デッドボヲルdeホームラン	3	6	9	13	-	5	8	13	-
テレキャスタービーボーイ	2	5	9	12	-	6	9	12	-
天空の華	4	7	12	15	-	7	12	15	-
天上の星～黎明記～	2	5	8	12	-	5	8	12	-
東京神話	5	9	13	17	-	9	13	17	-
ドーパミン	7	10	13	17	-	10	13	17	-
どきドキ バレンタイン	3	6	9	12	-	6	9	12	-
ドキドキ☆流星トラップガール!!	3	6	9	14	-	6	10	14	-
突撃！ガラスのニーソ姫！	4	7	11	14	-	7	11	14	-
轟け！恋のビーンボール！！	3	7	11	16	-	6	11	16	-
ナイト・オブ・ナイツ	1	7	11	15	16	7	11	15	17
ナイト・オブ・ナイツ (Ryu☆Remix)	4	8	13	16	-	8	13	16	-
†渚の小悪魔ラヴリィ～レイディオ†	2	6	11	16	9	6	12	16	9
嘆きの樹	4	8	12	16	18	8	12	16	18
なだめスかし Negotiation	2	5	9	11	16	5	9	11	16
夏色DIARY -DDR mix-	3	7	10	14	-	6	11	15	-
虹色	3	4	8	11	13	4	7	13	13
虹色の花	3	5	8	11	-	5	8	11	-
熱情のサパデアード	2	5	9	13	-	5	10	13	-
ノープラン・デイズ	3	9	12	16	-	9	12	16	-
ノルエピネフリン	2	6	11	14	-	6	11	14	-
爆なな☆てすとロイヤー	4	7	11	13	-	7	10	12	-
初音ミクの消失	3	8	10	13	15	10	13	14	15
ハッピーシンセサイザ	2	5	9	13	-	5	9	13	-
花は折りたし梢は高し	2	5	9	12	-	5	9	12	-
はなまるぴっぴはよいこだけ	4	7	10	12	-	6	10	12	-
華爛漫 -Flowers-	3	5	7	11	-	4	7	11	-
ハピ恋☆らぶりぃタイム!!	2	5	8	11	-	5	8	11	-
パ→ピ→プ→Yeah!	3	5	10	13	-	6	8	13	-
パピポペピプペパ	4	6	11	15	-	6	11	15	-
ハラショー！おにぎりサーカス団☆	3	7	11	14	-	7	11	15	-
ハルイチバン	4	6	7	11	-	5	7	11	-
春を告げる	2	4	8	10	-	4	8	10	-
叛逆のディスパレート	3	6	10	13	-	7	11	13	-
バンブーソード・ガール	2	7	11	15	18	7	12	15	17
び	5	9	12	17	18	9	12	17	18
ヒカリユリイカ	2	5	8	11	-	5	8	11	-
ビビットストリーム	4	6	10	13	-	6	10	13	-
ヒマワリ	3	4	7	11	-	4	7	13	-
向日葵サンセット	3	5	10	13	-	5	11	13	-
ビューティフル レシート	4	8	10	13	-	7	10	13	-
フー・フローツ	3	6	9	12	-	6	9	13	-
風鈴花火	2	5	8	10	-	5	8	10	-
不沈艦CANDY	2	6	9	14	-	5	8	14	-
無頼ック自己ライザー	1	4	8	13	15	5	9	13	15
プレインエイジア -PHQ remix-	5	7	10	13	-	7	10	13	-
ベィスドロップ・フリークス	3	7	10	13	-	7	10	13	-
ベビーステップ	4	7	9	12	-	7	9	12	-
ホーンテッド★メイドランチ	4	7	11	15	17	7	11	15	17
星屑のキロク	3	6	9	11	-	6	10	12	-
星屑の夜果て	4	8	12	15	-	8	12	15	-
ほしのつくりかた	3	6	10	14	-	5	10	13	-
ホメ猫☆センセーション	4	6	10	13	-	6	10	13	-
マインド・ゲーム	3	7	10	14	-	7	10	15	-
魔法のたまご ～心菜 ELECTRO POP edition～	3	4	8	11	-	6	8	11	-
魔理沙は大変なものを盗んでいきました	3	6	9	12	-	6	10	12	-
未完成ノ蒸氣驅動乙女 (DDR Edition)	5	9	13	17	-	9	13	17	-
三毛猫ロック	4	5	8	12	-	5	9	13	-
ミックスナッツ	1	5	8	15	-	5	8	14	-
ミッドナイト☆WAR	3	7	11	14	-	7	11	14	-
未来（ダ）FUTURE	2	7	10	15	-	7	10	15	-
ミライプリズム	2	4	7	10	-	4	7	11	-
夢幻ノ光	4	4	8	11	-	4	8	11	-
冥	3	7	11	16	18	7	12	15	18
めうめうぺったんたん！！	3	6	9	12	16	6	9	12	15
滅亡天使 † にこきゅっぴん	4	6	9	12	-	6	9	12	-
モノクロモーメント	3	7	11	14	-	6	11	14	-
野球の遊び方　そしてその歴史　～決定版～	3	6	9	14	-	6	10	14	-
ヤマトなでなで♡かぐや姫	2	6	8	11	14	5	8	11	14
勇猛無比	4	8	11	14	-	8	11	14	-
酔いどれ知らず	1	3	9	13	-	3	9	13	-
ラキラキ	2	7	10	13	-	7	11	13	-
ラクガキスト	4	7	10	13	16	7	10	13	16
ラブキラ☆スプラッシュ	2	6	10	14	-	6	10	14	-
ランカーキラーガール	4	8	13	17	-	8	13	17	-
繚乱ヒットチャート	2	5	8	13	-	5	8	13	-
凛として咲く花の如く	3	6	8	10	-	5	7	11	-
凛として咲く花の如く ～ひなビタ♪ edition～	3	5	8	11	-	6	8	11	-
ルミナスデイズ	2	5	8	12	-	5	8	11	-
恋愛観測	3	7	10	12	-	7	10	12	-
恋閃繚乱	2	6	8	11	15	6	8	11	15
ロールプレイングゲーム	2	5	10	14	-	5	10	14	-
ロキ(w/緒方恵美)	2	5	9	12	-	5	9	12	-
炉心融解	2	6	10	12	-	6	10	12	-
ロストワンの号哭	3	6	10	12	15	6	10	13	15
ロンロンへ　ライライライ！	3	6	10	12	-	6	10	12	-
私をディスコに連れてって TOKYO	3	9	11	14	-	9	11	14	-
海神	3	8	12	16	-	7	12	16	-
A	4	5	8	11	12	5	7	11	13
AA	3	5	9	13	-	5	10	13	-
